"Scenario","Vehicle","Country","Year","Sales"
"Ambitious","Buses","Canada",2015,0
"Ambitious","Buses","Canada",2016,5
"Ambitious","Buses","Canada",2017,11
"Ambitious","Buses","Canada",2018,27
"Ambitious","Buses","Canada",2019,115
"Ambitious","Buses","Canada",2020,315
"Ambitious","Buses","Canada",2021,269
"Ambitious","Buses","Canada",2022,678
"Ambitious","Buses","Canada",2023,1193
"Ambitious","Buses","Canada",2024,740
"Ambitious","Buses","Canada",2025,1083
"Ambitious","Buses","Canada",2026,1264
"Ambitious","Buses","Canada",2027,1474
"Ambitious","Buses","Canada",2028,1717
"Ambitious","Buses","Canada",2029,2000
"Ambitious","Buses","Canada",2030,2327
"Ambitious","Buses","Canada",2031,2514
"Ambitious","Buses","Canada",2032,2990
"Ambitious","Buses","Canada",2033,3487
"Ambitious","Buses","Canada",2034,3823
"Ambitious","Buses","Canada",2035,3993
"Ambitious","Buses","Canada",2036,4143
"Ambitious","Buses","Canada",2037,4253
"Ambitious","Buses","Canada",2038,4432
"Ambitious","Buses","Canada",2039,4615
"Ambitious","Buses","Canada",2040,4801
"Ambitious","Buses","Canada",2041,4893
"Ambitious","Buses","Canada",2042,4986
"Ambitious","Buses","Canada",2043,5078
"Ambitious","Buses","Canada",2044,5170
"Ambitious","Buses","Canada",2045,5262
"Ambitious","Buses","Canada",2046,5355
"Ambitious","Buses","Canada",2047,5447
"Ambitious","Buses","Canada",2048,5539
"Ambitious","Buses","Canada",2049,5631
"Ambitious","Buses","Canada",2050,5724
"Ambitious","Buses","Mexico",2015,0
"Ambitious","Buses","Mexico",2016,0
"Ambitious","Buses","Mexico",2017,0
"Ambitious","Buses","Mexico",2018,10
"Ambitious","Buses","Mexico",2019,63
"Ambitious","Buses","Mexico",2020,15
"Ambitious","Buses","Mexico",2021,39
"Ambitious","Buses","Mexico",2022,2
"Ambitious","Buses","Mexico",2023,87
"Ambitious","Buses","Mexico",2024,658
"Ambitious","Buses","Mexico",2025,1088
"Ambitious","Buses","Mexico",2026,1174
"Ambitious","Buses","Mexico",2027,1450
"Ambitious","Buses","Mexico",2028,2382
"Ambitious","Buses","Mexico",2029,4222
"Ambitious","Buses","Mexico",2030,7870
"Ambitious","Buses","Mexico",2031,8382
"Ambitious","Buses","Mexico",2032,8909
"Ambitious","Buses","Mexico",2033,9452
"Ambitious","Buses","Mexico",2034,10010
"Ambitious","Buses","Mexico",2035,10585
"Ambitious","Buses","Mexico",2036,11062
"Ambitious","Buses","Mexico",2037,11550
"Ambitious","Buses","Mexico",2038,12047
"Ambitious","Buses","Mexico",2039,12556
"Ambitious","Buses","Mexico",2040,13075
"Ambitious","Buses","Mexico",2041,13352
"Ambitious","Buses","Mexico",2042,13630
"Ambitious","Buses","Mexico",2043,13907
"Ambitious","Buses","Mexico",2044,14185
"Ambitious","Buses","Mexico",2045,14462
"Ambitious","Buses","Mexico",2046,14740
"Ambitious","Buses","Mexico",2047,15017
"Ambitious","Buses","Mexico",2048,15295
"Ambitious","Buses","Mexico",2049,15571
"Ambitious","Buses","Mexico",2050,15849
"Ambitious","Buses","United States",2015,44
"Ambitious","Buses","United States",2016,331
"Ambitious","Buses","United States",2017,150
"Ambitious","Buses","United States",2018,466
"Ambitious","Buses","United States",2019,554
"Ambitious","Buses","United States",2020,658
"Ambitious","Buses","United States",2021,501
"Ambitious","Buses","United States",2022,793
"Ambitious","Buses","United States",2023,3522
"Ambitious","Buses","United States",2024,2239
"Ambitious","Buses","United States",2025,27709
"Ambitious","Buses","United States",2026,31868
"Ambitious","Buses","United States",2027,46319
"Ambitious","Buses","United States",2028,66446
"Ambitious","Buses","United States",2029,85913
"Ambitious","Buses","United States",2030,104509
"Ambitious","Buses","United States",2031,107685
"Ambitious","Buses","United States",2032,111919
"Ambitious","Buses","United States",2033,116530
"Ambitious","Buses","United States",2034,120972
"Ambitious","Buses","United States",2035,126211
"Ambitious","Buses","United States",2036,129863
"Ambitious","Buses","United States",2037,132932
"Ambitious","Buses","United States",2038,136227
"Ambitious","Buses","United States",2039,139613
"Ambitious","Buses","United States",2040,143437
"Ambitious","Buses","United States",2041,145022
"Ambitious","Buses","United States",2042,146583
"Ambitious","Buses","United States",2043,148189
"Ambitious","Buses","United States",2044,149322
"Ambitious","Buses","United States",2045,150364
"Ambitious","Buses","United States",2046,151265
"Ambitious","Buses","United States",2047,152738
"Ambitious","Buses","United States",2048,153978
"Ambitious","Buses","United States",2049,155397
"Ambitious","Buses","United States",2050,157368
"Ambitious","Cars","Canada",2015,4553
"Ambitious","Cars","Canada",2016,5178
"Ambitious","Cars","Canada",2017,9666
"Ambitious","Cars","Canada",2018,21307
"Ambitious","Cars","Canada",2019,32402
"Ambitious","Cars","Canada",2020,34806
"Ambitious","Cars","Canada",2021,58726
"Ambitious","Cars","Canada",2022,98486
"Ambitious","Cars","Canada",2023,136693
"Ambitious","Cars","Canada",2024,177214
"Ambitious","Cars","Canada",2025,214543
"Ambitious","Cars","Canada",2026,328243
"Ambitious","Cars","Canada",2027,468772
"Ambitious","Cars","Canada",2028,669225
"Ambitious","Cars","Canada",2029,954469
"Ambitious","Cars","Canada",2030,1358421
"Ambitious","Cars","Canada",2031,1451058
"Ambitious","Cars","Canada",2032,1541739
"Ambitious","Cars","Canada",2033,1645233
"Ambitious","Cars","Canada",2034,1732922
"Ambitious","Cars","Canada",2035,1820054
"Ambitious","Cars","Canada",2036,1817662
"Ambitious","Cars","Canada",2037,1818068
"Ambitious","Cars","Canada",2038,1820056
"Ambitious","Cars","Canada",2039,1820539
"Ambitious","Cars","Canada",2040,1819733
"Ambitious","Cars","Canada",2041,1823206
"Ambitious","Cars","Canada",2042,1829009
"Ambitious","Cars","Canada",2043,1828302
"Ambitious","Cars","Canada",2044,1831465
"Ambitious","Cars","Canada",2045,1841176
"Ambitious","Cars","Canada",2046,1844977
"Ambitious","Cars","Canada",2047,1847991
"Ambitious","Cars","Canada",2048,1850427
"Ambitious","Cars","Canada",2049,1849032
"Ambitious","Cars","Canada",2050,1846613
"Ambitious","Cars","Mexico",2015,212
"Ambitious","Cars","Mexico",2016,133
"Ambitious","Cars","Mexico",2017,324
"Ambitious","Cars","Mexico",2018,236
"Ambitious","Cars","Mexico",2019,897
"Ambitious","Cars","Mexico",2020,1840
"Ambitious","Cars","Mexico",2021,3015
"Ambitious","Cars","Mexico",2022,6911
"Ambitious","Cars","Mexico",2023,14417
"Ambitious","Cars","Mexico",2024,19488
"Ambitious","Cars","Mexico",2025,21130
"Ambitious","Cars","Mexico",2026,35915
"Ambitious","Cars","Mexico",2027,62946
"Ambitious","Cars","Mexico",2028,109538
"Ambitious","Cars","Mexico",2029,186509
"Ambitious","Cars","Mexico",2030,317993
"Ambitious","Cars","Mexico",2031,412151
"Ambitious","Cars","Mexico",2032,514567
"Ambitious","Cars","Mexico",2033,624689
"Ambitious","Cars","Mexico",2034,742688
"Ambitious","Cars","Mexico",2035,869491
"Ambitious","Cars","Mexico",2036,1004106
"Ambitious","Cars","Mexico",2037,1146639
"Ambitious","Cars","Mexico",2038,1298537
"Ambitious","Cars","Mexico",2039,1457048
"Ambitious","Cars","Mexico",2040,1623858
"Ambitious","Cars","Mexico",2041,1684649
"Ambitious","Cars","Mexico",2042,1746043
"Ambitious","Cars","Mexico",2043,1808879
"Ambitious","Cars","Mexico",2044,1872288
"Ambitious","Cars","Mexico",2045,1941016
"Ambitious","Cars","Mexico",2046,2000175
"Ambitious","Cars","Mexico",2047,2059333
"Ambitious","Cars","Mexico",2048,2118491
"Ambitious","Cars","Mexico",2049,2177651
"Ambitious","Cars","Mexico",2050,2236809
"Ambitious","Cars","United States",2015,71701
"Ambitious","Cars","United States",2016,84260
"Ambitious","Cars","United States",2017,106700
"Ambitious","Cars","United States",2018,236407
"Ambitious","Cars","United States",2019,233890
"Ambitious","Cars","United States",2020,256143
"Ambitious","Cars","United States",2021,482739
"Ambitious","Cars","United States",2022,749466
"Ambitious","Cars","United States",2023,1100815
"Ambitious","Cars","United States",2024,1137551
"Ambitious","Cars","United States",2025,3448282
"Ambitious","Cars","United States",2026,4256322
