"Scenario","Region","Variable","Type","Year","Value"
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2020,285.65
"Current Measures","Alberta","Biomass / Geothermal","Primary Fuel",2020,285.65
"Global Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2020,285.65
"Canada Net-zero","Alberta","Coal & Coke","Primary Fuel",2020,4719
"Current Measures","Alberta","Coal & Coke","Primary Fuel",2020,4719
"Global Net-zero","Alberta","Coal & Coke","Primary Fuel",2020,4719
"Canada Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2020,894.35
"Current Measures","Alberta","Hydro / Wave / Tidal","Primary Fuel",2020,894.35
"Global Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2020,894.35
"Canada Net-zero","Alberta","Natural Gas","Primary Fuel",2020,9566.48
"Current Measures","Alberta","Natural Gas","Primary Fuel",2020,9566.48
"Global Net-zero","Alberta","Natural Gas","Primary Fuel",2020,9566.48
"Canada Net-zero","Alberta","Oil","Primary Fuel",2020,7.14999999999999
"Current Measures","Alberta","Oil","Primary Fuel",2020,7.15
"Global Net-zero","Alberta","Oil","Primary Fuel",2020,7.15
"Canada Net-zero","Alberta","Solar","Primary Fuel",2020,71
"Current Measures","Alberta","Solar","Primary Fuel",2020,71
"Global Net-zero","Alberta","Solar","Primary Fuel",2020,71
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2020,0
"Global Net-zero","Alberta","Uranium","Primary Fuel",2020,0
"Canada Net-zero","Alberta","Wind","Primary Fuel",2020,1528.56
"Current Measures","Alberta","Wind","Primary Fuel",2020,1528.56
"Global Net-zero","Alberta","Wind","Primary Fuel",2020,1528.56
"Canada Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2020,979.05
"Current Measures","British Columbia","Biomass / Geothermal","Primary Fuel",2020,979.05
"Global Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2020,979.05
"Canada Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2020,15953.47
"Current Measures","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2020,15953.47
"Global Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2020,15953.47
"Canada Net-zero","British Columbia","Natural Gas","Primary Fuel",2020,539.73
"Current Measures","British Columbia","Natural Gas","Primary Fuel",2020,539.73
"Global Net-zero","British Columbia","Natural Gas","Primary Fuel",2020,539.73
"Canada Net-zero","British Columbia","Oil","Primary Fuel",2020,36.46
"Current Measures","British Columbia","Oil","Primary Fuel",2020,36.46
"Global Net-zero","British Columbia","Oil","Primary Fuel",2020,36.46
"Canada Net-zero","British Columbia","Solar","Primary Fuel",2020,303.281
"Current Measures","British Columbia","Solar","Primary Fuel",2020,303.281
"Global Net-zero","British Columbia","Solar","Primary Fuel",2020,303.281
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2020,0
"Global Net-zero","British Columbia","Uranium","Primary Fuel",2020,0
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2020,702.25
"Current Measures","British Columbia","Wind","Primary Fuel",2020,702.25
"Global Net-zero","British Columbia","Wind","Primary Fuel",2020,702.25
"Canada Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2020,22
"Current Measures","Manitoba","Biomass / Geothermal","Primary Fuel",2020,22
"Global Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2020,22
"Canada Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2020,5372.69
"Current Measures","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2020,5372.69
"Global Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2020,5372.69
"Canada Net-zero","Manitoba","Natural Gas","Primary Fuel",2020,402.61
"Current Measures","Manitoba","Natural Gas","Primary Fuel",2020,402.61
"Global Net-zero","Manitoba","Natural Gas","Primary Fuel",2020,402.61
"Canada Net-zero","Manitoba","Oil","Primary Fuel",2020,37.3099999999999
"Current Measures","Manitoba","Oil","Primary Fuel",2020,37.31
"Global Net-zero","Manitoba","Oil","Primary Fuel",2020,37.31
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2020,6
"Current Measures","Manitoba","Solar","Primary Fuel",2020,6
"Global Net-zero","Manitoba","Solar","Primary Fuel",2020,6
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2020,0
"Global Net-zero","Manitoba","Uranium","Primary Fuel",2020,0
"Canada Net-zero","Manitoba","Wind","Primary Fuel",2020,258.65
"Current Measures","Manitoba","Wind","Primary Fuel",2020,258.65
"Global Net-zero","Manitoba","Wind","Primary Fuel",2020,258.65
"Canada Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2020,79.2
"Current Measures","New Brunswick","Biomass / Geothermal","Primary Fuel",2020,79.2
"Global Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2020,79.2
"Canada Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2020,541
"Current Measures","New Brunswick","Coal & Coke","Primary Fuel",2020,541
"Global Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2020,541
"Canada Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2020,960.98
"Current Measures","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2020,960.98
"Global Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2020,960.98
"Canada Net-zero","New Brunswick","Natural Gas","Primary Fuel",2020,550
"Current Measures","New Brunswick","Natural Gas","Primary Fuel",2020,550
"Global Net-zero","New Brunswick","Natural Gas","Primary Fuel",2020,550
"Canada Net-zero","New Brunswick","Oil","Primary Fuel",2020,1593.04
"Current Measures","New Brunswick","Oil","Primary Fuel",2020,1593.04
"Global Net-zero","New Brunswick","Oil","Primary Fuel",2020,1593.04
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2020,0.162
"Current Measures","New Brunswick","Solar","Primary Fuel",2020,0.162
"Global Net-zero","New Brunswick","Solar","Primary Fuel",2020,0.162
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2020,705
"Current Measures","New Brunswick","Uranium","Primary Fuel",2020,705
"Global Net-zero","New Brunswick","Uranium","Primary Fuel",2020,705
"Canada Net-zero","New Brunswick","Wind","Primary Fuel",2020,294
"Current Measures","New Brunswick","Wind","Primary Fuel",2020,294
"Global Net-zero","New Brunswick","Wind","Primary Fuel",2020,294
"Canada Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2020,6783.061
"Current Measures","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2020,6783.061
"Global Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2020,6783.061
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2020,251.5
