"Vehicle","Year","Country","kwh_veh"
"Cars",2015,"Canada",50.7902921150889
"Cars",2015,"Mexico",23.2169811320755
"Cars",2015,"United States",44.427179537245
"Cars",2016,"Canada",55.9367323290846
"Cars",2016,"Mexico",28.7744360902256
"Cars",2016,"United States",59.7082197958699
"Cars",2017,"Canada",57.2782743637493
"Cars",2017,"Mexico",62.0308641975309
"Cars",2017,"United States",63.066885660731
"Cars",2018,"Canada",57.5779321349791
"Cars",2018,"Mexico",66.6398305084746
"Cars",2018,"United States",72.247564581421
"Cars",2019,"Canada",66.3838405036726
"Cars",2019,"Mexico",68.1848383500558
"Cars",2019,"United States",74.671325836932
"Cars",2020,"Canada",70.1568580129863
"Cars",2020,"Mexico",72.4467391304348
"Cars",2020,"United States",75.8848155132094
"Cars",2021,"Canada",72.4084255695944
"Cars",2021,"Mexico",72.0543615257048
"Cars",2021,"United States",75.6868351220846
"Cars",2022,"Canada",73.5541092134923
"Cars",2022,"Mexico",68.1057155259731
"Cars",2022,"United States",79.8760641576803
"Cars",2023,"Canada",72.0052862984938
"Cars",2023,"Mexico",69.7791565512936
"Cars",2023,"United States",79.8524206156348
"Cars",2024,"Canada",78.8872645502048
"Cars",2024,"Mexico",65.53279454023
"Cars",2024,"United States",82.8284367030577
"Vans",2020,"Mexico",67
"Vans",2021,"Mexico",50.3967611336033
"Vans",2021,"United States",121.666666666667
"Vans",2022,"Canada",77.0000000000001
"Vans",2022,"Mexico",62.3391812865497
"Vans",2022,"United States",84.3721397477397
"Vans",2023,"Canada",93.3912280701755
"Vans",2023,"Mexico",72.0562737642585
"Vans",2023,"United States",91.3521506989021
"Vans",2024,"Canada",103.501379310345
"Vans",2024,"Mexico",71.8201601164483
"Vans",2024,"United States",95.0682586043575
"Cars",2025,"Canada",78.8872645502048
"Cars",2025,"Mexico",65.53279454023
"Cars",2025,"United States",82.8284367030577
"Vans",2025,"Canada",103.501379310345
"Vans",2025,"Mexico",71.8201601164483
"Vans",2025,"United States",95.0682586043575
"Cars",2026,"Canada",78.8872645502048
"Cars",2026,"Mexico",65.53279454023
"Cars",2026,"United States",82.8284367030577
"Vans",2026,"Canada",103.501379310345
"Vans",2026,"Mexico",71.8201601164483
"Vans",2026,"United States",95.0682586043575
"Cars",2027,"Canada",78.8872645502048
"Cars",2027,"Mexico",65.53279454023
"Cars",2027,"United States",82.8284367030577
"Vans",2027,"Canada",103.501379310345
"Vans",2027,"Mexico",71.8201601164483
"Vans",2027,"United States",95.0682586043575
"Cars",2028,"Canada",78.8872645502048
"Cars",2028,"Mexico",65.53279454023
"Cars",2028,"United States",82.8284367030577
"Vans",2028,"Canada",103.501379310345
"Vans",2028,"Mexico",71.8201601164483
"Vans",2028,"United States",95.0682586043575
"Cars",2029,"Canada",78.8872645502048
"Cars",2029,"Mexico",65.53279454023
"Cars",2029,"United States",82.8284367030577
"Vans",2029,"Canada",103.501379310345
"Vans",2029,"Mexico",71.8201601164483
"Vans",2029,"United States",95.0682586043575
"Cars",2030,"Canada",78.8872645502048
"Cars",2030,"Mexico",65.53279454023
"Cars",2030,"United States",82.8284367030577
"Vans",2030,"Canada",103.501379310345
"Vans",2030,"Mexico",71.8201601164483
"Vans",2030,"United States",95.0682586043575
"Cars",2031,"Canada",78.8872645502048
"Cars",2031,"Mexico",65.53279454023
"Cars",2031,"United States",82.8284367030577
"Vans",2031,"Canada",103.501379310345
"Vans",2031,"Mexico",71.8201601164483
"Vans",2031,"United States",95.0682586043575
"Cars",2032,"Canada",78.8872645502048
"Cars",2032,"Mexico",65.53279454023
"Cars",2032,"United States",82.8284367030577
"Vans",2032,"Canada",103.501379310345
"Vans",2032,"Mexico",71.8201601164483
"Vans",2032,"United States",95.0682586043575
"Cars",2033,"Canada",78.8872645502048
"Cars",2033,"Mexico",65.53279454023
"Cars",2033,"United States",82.8284367030577
"Vans",2033,"Canada",103.501379310345
"Vans",2033,"Mexico",71.8201601164483
"Vans",2033,"United States",95.0682586043575
"Cars",2034,"Canada",78.8872645502048
"Cars",2034,"Mexico",65.53279454023
"Cars",2034,"United States",82.8284367030577
"Vans",2034,"Canada",103.501379310345
"Vans",2034,"Mexico",71.8201601164483
"Vans",2034,"United States",95.0682586043575
"Cars",2035,"Canada",78.8872645502048
"Cars",2035,"Mexico",65.53279454023
"Cars",2035,"United States",82.8284367030577
"Vans",2035,"Canada",103.501379310345
"Vans",2035,"Mexico",71.8201601164483
"Vans",2035,"United States",95.0682586043575
"Cars",2036,"Canada",78.8872645502048
"Cars",2036,"Mexico",65.53279454023
"Cars",2036,"United States",82.8284367030577
"Vans",2036,"Canada",103.501379310345
"Vans",2036,"Mexico",71.8201601164483
"Vans",2036,"United States",95.0682586043575
"Cars",2037,"Canada",78.8872645502048
"Cars",2037,"Mexico",65.53279454023
"Cars",2037,"United States",82.8284367030577
"Vans",2037,"Canada",103.501379310345
"Vans",2037,"Mexico",71.8201601164483
"Vans",2037,"United States",95.0682586043575
"Cars",2038,"Canada",78.8872645502048
"Cars",2038,"Mexico",65.53279454023
"Cars",2038,"United States",82.8284367030577
"Vans",2038,"Canada",103.501379310345
"Vans",2038,"Mexico",71.8201601164483
"Vans",2038,"United States",95.0682586043575
"Cars",2039,"Canada",78.8872645502048
"Cars",2039,"Mexico",65.53279454023
"Cars",2039,"United States",82.8284367030577
"Vans",2039,"Canada",103.501379310345
"Vans",2039,"Mexico",71.8201601164483
"Vans",2039,"United States",95.0682586043575
"Cars",2040,"Canada",78.8872645502048
"Cars",2040,"Mexico",65.53279454023
"Cars",2040,"United States",82.8284367030577
"Vans",2040,"Canada",103.501379310345
"Vans",2040,"Mexico",71.8201601164483
"Vans",2040,"United States",95.0682586043575
"Cars",2041,"Canada",78.8872645502048
"Cars",2041,"Mexico",65.53279454023
"Cars",2041,"United States",82.8284367030577
"Vans",2041,"Canada",103.501379310345
"Vans",2041,"Mexico",71.8201601164483
"Vans",2041,"United States",95.0682586043575
"Cars",2042,"Canada",78.8872645502048
"Cars",2042,"Mexico",65.53279454023
"Cars",2042,"United States",82.8284367030577
"Vans",2042,"Canada",103.501379310345
"Vans",2042,"Mexico",71.8201601164483
"Vans",2042,"United States",95.0682586043575
"Cars",2043,"Canada",78.8872645502048
"Cars",2043,"Mexico",65.53279454023
"Cars",2043,"United States",82.8284367030577
"Vans",2043,"Canada",103.501379310345
"Vans",2043,"Mexico",71.8201601164483
"Vans",2043,"United States",95.0682586043575
"Cars",2044,"Canada",78.8872645502048
"Cars",2044,"Mexico",65.53279454023
"Cars",2044,"United States",82.8284367030577
"Vans",2044,"Canada",103.501379310345
"Vans",2044,"Mexico",71.8201601164483
"Vans",2044,"United States",95.0682586043575
"Cars",2045,"Canada",78.8872645502048
"Cars",2045,"Mexico",65.53279454023
"Cars",2045,"United States",82.8284367030577
"Vans",2045,"Canada",103.501379310345
"Vans",2045,"Mexico",71.8201601164483
"Vans",2045,"United States",95.0682586043575
"Cars",2046,"Canada",78.8872645502048
"Cars",2046,"Mexico",65.53279454023
"Cars",2046,"United States",82.8284367030577
"Vans",2046,"Canada",103.501379310345
"Vans",2046,"Mexico",71.8201601164483
"Vans",2046,"United States",95.0682586043575
"Cars",2047,"Canada",78.8872645502048
"Cars",2047,"Mexico",65.53279454023
"Cars",2047,"United States",82.8284367030577
"Vans",2047,"Canada",103.501379310345
"Vans",2047,"Mexico",71.8201601164483
"Vans",2047,"United States",95.0682586043575
"Cars",2048,"Canada",78.8872645502048
"Cars",2048,"Mexico",65.53279454023
"Cars",2048,"United States",82.8284367030577
"Vans",2048,"Canada",103.501379310345
"Vans",2048,"Mexico",71.8201601164483
"Vans",2048,"United States",95.0682586043575
"Cars",2049,"Canada",78.8872645502048
"Cars",2049,"Mexico",65.53279454023
"Cars",2049,"United States",82.8284367030577
"Vans",2049,"Canada",103.501379310345
"Vans",2049,"Mexico",71.8201601164483
"Vans",2049,"United States",95.0682586043575
"Cars",2050,"Canada",78.8872645502048
"Cars",2050,"Mexico",65.53279454023
"Cars",2050,"United States",82.8284367030577
"Vans",2050,"Canada",103.501379310345
"Vans",2050,"Mexico",71.8201601164483
"Vans",2050,"United States",95.0682586043575
"Buses",2015,"United States",321.863636363636
"Buses",2016,"Canada",390
"Buses",2016,"United States",183.184290030212
"Buses",2017,"Canada",339.090909090909
"Buses",2017,"United States",305.886666666667
"Buses",2018,"Canada",360.12962962963
"Buses",2018,"Mexico",407
"Buses",2018,"United States",278.19313304721
"Buses",2019,"Canada",277.265217391304
"Buses",2019,"Mexico",208
"Buses",2019,"United States",361.252707581228
"Buses",2020,"Canada",286.309523809524
"Buses",2020,"Mexico",197.366666666667
"Buses",2020,"United States",268.342705167174
"Buses",2021,"Canada",203.217472118959
"Buses",2021,"Mexico",208
"Buses",2021,"United States",304.508982035929
"Buses",2022,"Canada",171.837758112094
"Buses",2022,"Mexico",287.25
"Buses",2022,"United States",260.9394703657
"Buses",2023,"Canada",163.302598491199
"Buses",2023,"Mexico",253.965517241379
"Buses",2023,"United States",252.504826802953
"Buses",2024,"Canada",253.441891891892
"Buses",2024,"Mexico",214.364741641337
"Buses",2024,"United States",282.855292541314
"Heavy trucks",2015,"United States",337
"Heavy trucks",2016,"United States",337
"Heavy trucks",2017,"Canada",243.5
"Heavy trucks",2017,"United States",337
"Heavy trucks",2018,"Canada",243.5
"Heavy trucks",2018,"United States",335.333333333334
"Heavy trucks",2019,"United States",287.105263157895
"Heavy trucks",2020,"United States",335.422535211268
"Heavy trucks",2021,"Canada",480
"Heavy trucks",2021,"Mexico",243.5
"Heavy trucks",2021,"United States",400.986666666667
"Heavy trucks",2022,"Canada",519.534883720931
"Heavy trucks",2022,"Mexico",274.909090909091
"Heavy trucks",2022,"United States",563.081803005009
"Heavy trucks",2023,"Canada",496.4
"Heavy trucks",2023,"Mexico",274.212765957447
"Heavy trucks",2023,"United States",451.058210251955
"Heavy trucks",2024,"Canada",373.504672897197
"Heavy trucks",2024,"Mexico",317.090909090909
"Heavy trucks",2024,"United States",416.199233716475
"Medium trucks",2015,"United States",100
"Medium trucks",2016,"United States",100
"Medium trucks",2017,"United States",83
"Medium trucks",2018,"United States",83
"Medium trucks",2019,"United States",80.7058823529412
"Medium trucks",2020,"United States",82.265306122449
"Medium trucks",2021,"Canada",350
"Medium trucks",2021,"United States",219
"Medium trucks",2022,"Canada",172.4296875
"Medium trucks",2022,"United States",242.134246575343
"Medium trucks",2023,"Canada",181.283018867925
"Medium trucks",2023,"United States",198.327169274538
"Medium trucks",2024,"Canada",141.967567567568
"Medium trucks",2024,"Mexico",243.5
"Medium trucks",2024,"United States",188.420707732634
"Buses",2025,"Canada",253.441891891892
"Buses",2025,"Mexico",214.364741641337
"Buses",2025,"United States",282.855292541314
"Heavy trucks",2025,"Canada",373.504672897197
"Heavy trucks",2025,"Mexico",317.090909090909
"Heavy trucks",2025,"United States",416.199233716475
"Medium trucks",2025,"Canada",141.967567567568
"Medium trucks",2025,"Mexico",243.5
"Medium trucks",2025,"United States",188.420707732634
"Buses",2026,"Canada",253.441891891892
"Buses",2026,"Mexico",214.364741641337
"Buses",2026,"United States",282.855292541314
"Heavy trucks",2026,"Canada",373.504672897197
"Heavy trucks",2026,"Mexico",317.090909090909
"Heavy trucks",2026,"United States",416.199233716475
"Medium trucks",2026,"Canada",141.967567567568
"Medium trucks",2026,"Mexico",243.5
"Medium trucks",2026,"United States",188.420707732634
"Buses",2027,"Canada",253.441891891892
"Buses",2027,"Mexico",214.364741641337
"Buses",2027,"United States",282.855292541314
"Heavy trucks",2027,"Canada",373.504672897197
"Heavy trucks",2027,"Mexico",317.090909090909
"Heavy trucks",2027,"United States",416.199233716475
"Medium trucks",2027,"Canada",141.967567567568
"Medium trucks",2027,"Mexico",243.5
"Medium trucks",2027,"United States",188.420707732634
"Buses",2028,"Canada",253.441891891892
"Buses",2028,"Mexico",214.364741641337
"Buses",2028,"United States",282.855292541314
"Heavy trucks",2028,"Canada",373.504672897197
"Heavy trucks",2028,"Mexico",317.090909090909
"Heavy trucks",2028,"United States",416.199233716475
"Medium trucks",2028,"Canada",141.967567567568
"Medium trucks",2028,"Mexico",243.5
"Medium trucks",2028,"United States",188.420707732634
"Buses",2029,"Canada",253.441891891892
"Buses",2029,"Mexico",214.364741641337
"Buses",2029,"United States",282.855292541314
"Heavy trucks",2029,"Canada",373.504672897197
