"Vehicle","Year","Country","kwh_veh"
"Buses",2016,"Canada",390
"Buses",2017,"Canada",339.090909090909
"Buses",2018,"Canada",360.12962962963
"Buses",2019,"Canada",277.265217391304
"Buses",2020,"Canada",286.309523809524
"Buses",2021,"Canada",203.217472118959
"Buses",2022,"Canada",171.837758112094
"Buses",2023,"Canada",163.302598491199
"Buses",2024,"Canada",253.441891891892
"Buses",2025,"Canada",241.310810810811
"Buses",2026,"Canada",229.17972972973
"Buses",2027,"Canada",217.048648648649
"Buses",2028,"Canada",204.917567567568
"Buses",2029,"Canada",192.786486486487
"Buses",2030,"Canada",180.655405405405
"Buses",2031,"Canada",168.524324324324
"Buses",2032,"Canada",156.393243243243
"Buses",2033,"Canada",144.262162162162
"Buses",2034,"Canada",132.131081081081
"Buses",2035,"Canada",120
"Buses",2036,"Canada",120
"Buses",2037,"Canada",120
"Buses",2038,"Canada",120
"Buses",2039,"Canada",120
"Buses",2040,"Canada",120
"Buses",2041,"Canada",120
"Buses",2042,"Canada",120
"Buses",2043,"Canada",120
"Buses",2044,"Canada",120
"Buses",2045,"Canada",120
"Buses",2046,"Canada",120
"Buses",2047,"Canada",120
"Buses",2048,"Canada",120
"Buses",2049,"Canada",120
"Buses",2050,"Canada",120
"Cars",2015,"Canada",50.7902921150889
"Cars",2016,"Canada",55.9367323290846
"Cars",2017,"Canada",57.2782743637493
"Cars",2018,"Canada",57.5779321349791
"Cars",2019,"Canada",66.3838405036726
"Cars",2020,"Canada",70.1568580129863
"Cars",2021,"Canada",72.4084255695944
"Cars",2022,"Canada",73.5541092134923
"Cars",2023,"Canada",72.0052862984938
"Cars",2024,"Canada",78.8872645502048
"Cars",2025,"Canada",77.1702405001862
"Cars",2026,"Canada",75.4532164501676
"Cars",2027,"Canada",73.736192400149
"Cars",2028,"Canada",72.0191683501303
"Cars",2029,"Canada",70.3021443001117
"Cars",2030,"Canada",68.5851202500931
"Cars",2031,"Canada",66.8680962000745
"Cars",2032,"Canada",65.1510721500559
"Cars",2033,"Canada",63.4340481000372
"Cars",2034,"Canada",61.7170240500186
"Cars",2035,"Canada",60
"Cars",2036,"Canada",60
"Cars",2037,"Canada",60
"Cars",2038,"Canada",60
"Cars",2039,"Canada",60
"Cars",2040,"Canada",60
"Cars",2041,"Canada",60
"Cars",2042,"Canada",60
"Cars",2043,"Canada",60
"Cars",2044,"Canada",60
"Cars",2045,"Canada",60
"Cars",2046,"Canada",60
"Cars",2047,"Canada",60
"Cars",2048,"Canada",60
"Cars",2049,"Canada",60
"Cars",2050,"Canada",60
"Heavy trucks",2017,"Canada",243.5
"Heavy trucks",2018,"Canada",243.5
"Heavy trucks",2021,"Canada",480
"Heavy trucks",2022,"Canada",519.534883720931
"Heavy trucks",2023,"Canada",496.4
"Heavy trucks",2024,"Canada",373.504672897197
"Heavy trucks",2025,"Canada",357.731520815633
"Heavy trucks",2026,"Canada",341.958368734069
"Heavy trucks",2027,"Canada",326.185216652506
"Heavy trucks",2028,"Canada",310.412064570943
"Heavy trucks",2029,"Canada",294.63891248938
"Heavy trucks",2030,"Canada",278.865760407816
"Heavy trucks",2031,"Canada",263.092608326253
"Heavy trucks",2032,"Canada",247.31945624469
"Heavy trucks",2033,"Canada",231.546304163127
"Heavy trucks",2034,"Canada",215.773152081563
"Heavy trucks",2035,"Canada",200
"Heavy trucks",2036,"Canada",200
"Heavy trucks",2037,"Canada",200
"Heavy trucks",2038,"Canada",200
"Heavy trucks",2039,"Canada",200
"Heavy trucks",2040,"Canada",200
"Heavy trucks",2041,"Canada",200
"Heavy trucks",2042,"Canada",200
"Heavy trucks",2043,"Canada",200
"Heavy trucks",2044,"Canada",200
"Heavy trucks",2045,"Canada",200
"Heavy trucks",2046,"Canada",200
"Heavy trucks",2047,"Canada",200
"Heavy trucks",2048,"Canada",200
"Heavy trucks",2049,"Canada",200
"Heavy trucks",2050,"Canada",200
"Medium trucks",2021,"Canada",350
"Medium trucks",2022,"Canada",172.4296875
"Medium trucks",2023,"Canada",181.283018867925
"Medium trucks",2024,"Canada",141.967567567568
"Medium trucks",2025,"Canada",133.061425061425
"Medium trucks",2026,"Canada",124.155282555283
"Medium trucks",2027,"Canada",115.24914004914
"Medium trucks",2028,"Canada",106.342997542998
"Medium trucks",2029,"Canada",97.4368550368553
"Medium trucks",2030,"Canada",88.5307125307127
"Medium trucks",2031,"Canada",79.6245700245702
"Medium trucks",2032,"Canada",70.7184275184276
"Medium trucks",2033,"Canada",61.8122850122851
"Medium trucks",2034,"Canada",52.9061425061426
"Medium trucks",2035,"Canada",44
"Medium trucks",2036,"Canada",44
"Medium trucks",2037,"Canada",44
"Medium trucks",2038,"Canada",44
"Medium trucks",2039,"Canada",44
"Medium trucks",2040,"Canada",44
"Medium trucks",2041,"Canada",44
"Medium trucks",2042,"Canada",44
"Medium trucks",2043,"Canada",44
"Medium trucks",2044,"Canada",44
"Medium trucks",2045,"Canada",44
"Medium trucks",2046,"Canada",44
"Medium trucks",2047,"Canada",44
"Medium trucks",2048,"Canada",44
"Medium trucks",2049,"Canada",44
"Medium trucks",2050,"Canada",44
"Vans",2022,"Canada",77.0000000000001
"Vans",2023,"Canada",93.3912280701755
"Vans",2024,"Canada",103.501379310345
"Vans",2025,"Canada",101.637617554859
"Vans",2026,"Canada",99.7738557993732
"Vans",2027,"Canada",97.9100940438873
"Vans",2028,"Canada",96.0463322884014
"Vans",2029,"Canada",94.1825705329155
"Vans",2030,"Canada",92.3188087774296
"Vans",2031,"Canada",90.4550470219436
"Vans",2032,"Canada",88.5912852664577
"Vans",2033,"Canada",86.7275235109718
"Vans",2034,"Canada",84.8637617554859
"Vans",2035,"Canada",83
"Vans",2036,"Canada",83
"Vans",2037,"Canada",83
"Vans",2038,"Canada",83
"Vans",2039,"Canada",83
"Vans",2040,"Canada",83
"Vans",2041,"Canada",83
"Vans",2042,"Canada",83
"Vans",2043,"Canada",83
"Vans",2044,"Canada",83
"Vans",2045,"Canada",83
"Vans",2046,"Canada",83
"Vans",2047,"Canada",83
"Vans",2048,"Canada",83
"Vans",2049,"Canada",83
"Vans",2050,"Canada",83
"Buses",2018,"Mexico",407
"Buses",2019,"Mexico",208
"Buses",2020,"Mexico",197.366666666667
"Buses",2021,"Mexico",208
"Buses",2022,"Mexico",287.25
"Buses",2023,"Mexico",253.965517241379
"Buses",2024,"Mexico",214.364741641337
"Buses",2025,"Mexico",212.46794694667
"Buses",2026,"Mexico",210.571152252003
"Buses",2027,"Mexico",208.674357557336
"Buses",2028,"Mexico",206.777562862669
"Buses",2029,"Mexico",204.880768168002
"Buses",2030,"Mexico",202.983973473335
"Buses",2031,"Mexico",201.087178778668
"Buses",2032,"Mexico",199.190384084001
"Buses",2033,"Mexico",197.293589389334
"Buses",2034,"Mexico",195.396794694667
"Buses",2035,"Mexico",193.5
"Buses",2036,"Mexico",193.5
"Buses",2037,"Mexico",193.5
"Buses",2038,"Mexico",193.5
"Buses",2039,"Mexico",193.5
"Buses",2040,"Mexico",193.5
"Buses",2041,"Mexico",193.5
"Buses",2042,"Mexico",193.5
"Buses",2043,"Mexico",193.5
"Buses",2044,"Mexico",193.5
"Buses",2045,"Mexico",193.5
"Buses",2046,"Mexico",193.5
"Buses",2047,"Mexico",193.5
"Buses",2048,"Mexico",193.5
"Buses",2049,"Mexico",193.5
"Buses",2050,"Mexico",193.5
"Cars",2015,"Mexico",23.2169811320755
"Cars",2016,"Mexico",28.7744360902256
"Cars",2017,"Mexico",62.0308641975309
"Cars",2018,"Mexico",66.6398305084746
"Cars",2019,"Mexico",68.1848383500558
"Cars",2020,"Mexico",72.4467391304348
"Cars",2021,"Mexico",72.0543615257048
"Cars",2022,"Mexico",68.1057155259731
"Cars",2023,"Mexico",69.7791565512936
"Cars",2024,"Mexico",65.53279454023
"Cars",2025,"Mexico",62.6661768547545
"Cars",2026,"Mexico",59.799559169279
"Cars",2027,"Mexico",56.9329414838036
"Cars",2028,"Mexico",54.0663237983281
"Cars",2029,"Mexico",51.1997061128527
"Cars",2030,"Mexico",48.3330884273772
"Cars",2031,"Mexico",45.4664707419018
"Cars",2032,"Mexico",42.5998530564263
"Cars",2033,"Mexico",39.7332353709509
"Cars",2034,"Mexico",36.8666176854754
"Cars",2035,"Mexico",34
"Cars",2036,"Mexico",34
"Cars",2037,"Mexico",34
"Cars",2038,"Mexico",34
"Cars",2039,"Mexico",34
"Cars",2040,"Mexico",34
"Cars",2041,"Mexico",34
"Cars",2042,"Mexico",34
"Cars",2043,"Mexico",34
"Cars",2044,"Mexico",34
"Cars",2045,"Mexico",34
"Cars",2046,"Mexico",34
