"FlowType","Year","Vehicle","gwh"
"LIB Production Requirement",2025,"Buses",3.55752868977128
"LIB Production Requirement",2025,"Consumer Electronics",35.8127794877574
"LIB Production Requirement",2025,"Heavy trucks",8.71171488403858
"LIB Production Requirement",2025,"LIB Replacement - HDV",0.830111446159229
"LIB Production Requirement",2025,"LIB Replacement - LDV",2.15730631053229
"LIB Production Requirement",2025,"LIB Replacement - SS",0.651192526765053
"LIB Production Requirement",2025,"Light Commercial Vehicles",15.8694841184066
"LIB Production Requirement",2025,"Light Duty Vehicles",201.133562029531
"LIB Production Requirement",2025,"Medium trucks",27.0260255829336
"LIB Production Requirement",2025,"Stationary Storage",30.2426434360512
"LIB Production Requirement",2026,"Buses",4.84001981298198
"LIB Production Requirement",2026,"Consumer Electronics",37.3564337760229
"LIB Production Requirement",2026,"Heavy trucks",13.1290488057728
"LIB Production Requirement",2026,"LIB Replacement - HDV",1.90798970056205
"LIB Production Requirement",2026,"LIB Replacement - LDV",3.57058369871506
"LIB Production Requirement",2026,"LIB Replacement - SS",1.01548907669091
"LIB Production Requirement",2026,"Light Commercial Vehicles",23.6732189166161
"LIB Production Requirement",2026,"Light Duty Vehicles",276.415765251884
"LIB Production Requirement",2026,"Medium trucks",29.6293593682618
"LIB Production Requirement",2026,"Stationary Storage",31.2488727566134
"LIB Production Requirement",2027,"Buses",6.43965782405739
"LIB Production Requirement",2027,"Consumer Electronics",38.5913572066352
"LIB Production Requirement",2027,"Heavy trucks",16.2203675225637
"LIB Production Requirement",2027,"LIB Replacement - HDV",3.65440785542488
"LIB Production Requirement",2027,"LIB Replacement - LDV",5.77539639046743
"LIB Production Requirement",2027,"LIB Replacement - SS",1.56943385059463
"LIB Production Requirement",2027,"Light Commercial Vehicles",33.7964340551767
"LIB Production Requirement",2027,"Light Duty Vehicles",373.340923183086
"LIB Production Requirement",2027,"Medium trucks",36.0640391643548
"LIB Production Requirement",2027,"Stationary Storage",8.36688482199701
"LIB Production Requirement",2028,"Buses",8.05176849578026
"LIB Production Requirement",2028,"Consumer Electronics",39.8262806372475
"LIB Production Requirement",2028,"Heavy trucks",20.3140630714134
"LIB Production Requirement",2028,"LIB Replacement - HDV",6.40148073216419
"LIB Production Requirement",2028,"LIB Replacement - LDV",9.1226124019144
"LIB Production Requirement",2028,"LIB Replacement - SS",2.39921544698927
"LIB Production Requirement",2028,"Light Commercial Vehicles",45.5652003184002
"LIB Production Requirement",2028,"Light Duty Vehicles",440.475979423258
"LIB Production Requirement",2028,"Medium trucks",45.0902210112535
