"Vehicle","Country","Year","Stage","ktons"
"Buses","Canada",2025,"Pre-processing (ktons of battery)",0.218830461103442
"Buses","Canada",2025,"Refining (ktons of black mass)",0.0656491383310325
"Buses","Canada",2026,"Pre-processing (ktons of battery)",0.321786296048616
"Buses","Canada",2026,"Refining (ktons of black mass)",0.0965358888145848
"Buses","Canada",2027,"Pre-processing (ktons of battery)",0.453619569519078
"Buses","Canada",2027,"Refining (ktons of black mass)",0.136085870855723
"Buses","Canada",2028,"Pre-processing (ktons of battery)",0.602793223171692
"Buses","Canada",2028,"Refining (ktons of black mass)",0.180837966951507
"Buses","Canada",2029,"Pre-processing (ktons of battery)",0.790266675849877
"Buses","Canada",2029,"Refining (ktons of black mass)",0.237080002754963
"Buses","Canada",2030,"Pre-processing (ktons of battery)",1.00366629712727
"Buses","Canada",2030,"Refining (ktons of black mass)",0.30109988913818
"Buses","Canada",2031,"Pre-processing (ktons of battery)",1.24086287111847
"Buses","Canada",2031,"Refining (ktons of black mass)",0.37225886133554
"Buses","Canada",2032,"Pre-processing (ktons of battery)",1.50597721468841
"Buses","Canada",2032,"Refining (ktons of black mass)",0.451793164406523
"Buses","Canada",2033,"Pre-processing (ktons of battery)",1.80979893349971
"Buses","Canada",2033,"Refining (ktons of black mass)",0.542939680049914
"Buses","Canada",2034,"Pre-processing (ktons of battery)",2.13632598077525
"Buses","Canada",2034,"Refining (ktons of black mass)",0.640897794232574
"Buses","Canada",2035,"Pre-processing (ktons of battery)",2.48956875339976
"Buses","Canada",2035,"Refining (ktons of black mass)",0.746870626019929
"Buses","Canada",2036,"Pre-processing (ktons of battery)",2.87927114144082
"Buses","Canada",2036,"Refining (ktons of black mass)",0.863781342432245
"Buses","Canada",2037,"Pre-processing (ktons of battery)",3.30564628350213
"Buses","Canada",2037,"Refining (ktons of black mass)",0.99169388505064
"Buses","Canada",2038,"Pre-processing (ktons of battery)",3.76060058341722
"Buses","Canada",2038,"Refining (ktons of black mass)",1.12818017502517
"Buses","Canada",2039,"Pre-processing (ktons of battery)",4.26765742767027
"Buses","Canada",2039,"Refining (ktons of black mass)",1.28029722830108
"Buses","Canada",2040,"Pre-processing (ktons of battery)",4.80290206962152
"Buses","Canada",2040,"Refining (ktons of black mass)",1.44087062088646
"Buses","Canada",2041,"Pre-processing (ktons of battery)",5.36866442662845
"Buses","Canada",2041,"Refining (ktons of black mass)",1.61059932798853
"Buses","Canada",2042,"Pre-processing (ktons of battery)",5.96808587706792
"Buses","Canada",2042,"Refining (ktons of black mass)",1.79042576312038
"Buses","Canada",2043,"Pre-processing (ktons of battery)",6.60362631234157
"Buses","Canada",2043,"Refining (ktons of black mass)",1.98108789370247
"Buses","Canada",2044,"Pre-processing (ktons of battery)",7.2660638639811
"Buses","Canada",2044,"Refining (ktons of black mass)",2.17981915919433
"Buses","Canada",2045,"Pre-processing (ktons of battery)",7.96615737853285
"Buses","Canada",2045,"Refining (ktons of black mass)",2.38984721355985
"Buses","Canada",2046,"Pre-processing (ktons of battery)",8.64089075479677
"Buses","Canada",2046,"Refining (ktons of black mass)",2.59226722643903
"Buses","Canada",2047,"Pre-processing (ktons of battery)",9.31024470778752
"Buses","Canada",2047,"Refining (ktons of black mass)",2.79307341233626
"Buses","Canada",2048,"Pre-processing (ktons of battery)",9.95116456633435
"Buses","Canada",2048,"Refining (ktons of black mass)",2.9853493699003
"Buses","Canada",2049,"Pre-processing (ktons of battery)",10.5736406879446
"Buses","Canada",2049,"Refining (ktons of black mass)",3.17209220638337
"Buses","Canada",2050,"Pre-processing (ktons of battery)",11.1484704891353
"Buses","Canada",2050,"Refining (ktons of black mass)",3.34454114674057
"Buses","Mexico",2025,"Pre-processing (ktons of battery)",0.0552718179386327
"Buses","Mexico",2025,"Refining (ktons of black mass)",0.0165727051509466
"Buses","Mexico",2026,"Pre-processing (ktons of battery)",0.100376463932082
"Buses","Mexico",2026,"Refining (ktons of black mass)",0.0300968848661353
"Buses","Mexico",2027,"Pre-processing (ktons of battery)",0.164763643682655
"Buses","Mexico",2027,"Refining (ktons of black mass)",0.0494027406404467
"Buses","Mexico",2028,"Pre-processing (ktons of battery)",0.257552165504849
"Buses","Mexico",2028,"Refining (ktons of black mass)",0.0772244564967758
"Buses","Mexico",2029,"Pre-processing (ktons of battery)",0.384329111620098
"Buses","Mexico",2029,"Refining (ktons of black mass)",0.115237263497953
"Buses","Mexico",2030,"Pre-processing (ktons of battery)",0.548383369517306
"Buses","Mexico",2030,"Refining (ktons of black mass)",0.164427301862648
"Buses","Mexico",2031,"Pre-processing (ktons of battery)",0.746737737693903
"Buses","Mexico",2031,"Refining (ktons of black mass)",0.223901887316718
"Buses","Mexico",2032,"Pre-processing (ktons of battery)",0.975418654921177
"Buses","Mexico",2032,"Refining (ktons of black mass)",0.292469587026966
"Buses","Mexico",2033,"Pre-processing (ktons of battery)",1.2318884468871
"Buses","Mexico",2033,"Refining (ktons of black mass)",0.369369504577987
"Buses","Mexico",2034,"Pre-processing (ktons of battery)",1.51899000260457
"Buses","Mexico",2034,"Refining (ktons of black mass)",0.455454051979095
"Buses","Mexico",2035,"Pre-processing (ktons of battery)",1.83445374029338
"Buses","Mexico",2035,"Refining (ktons of black mass)",0.550042717695444
"Buses","Mexico",2036,"Pre-processing (ktons of battery)",2.17423008832367
"Buses","Mexico",2036,"Refining (ktons of black mass)",0.651921277930668
"Buses","Mexico",2037,"Pre-processing (ktons of battery)",2.57306815512945
"Buses","Mexico",2037,"Refining (ktons of black mass)",0.771508907407311
"Buses","Mexico",2038,"Pre-processing (ktons of battery)",3.02566809300936
"Buses","Mexico",2038,"Refining (ktons of black mass)",0.907216499477985
"Buses","Mexico",2039,"Pre-processing (ktons of battery)",3.54328238660683
