"Stage","Year","type","ktons"
"Pre-processing (ktons of battery)",2025,"Capacity",322.423361849208
"Pre-processing (ktons of battery)",2025,"Feedstock",132.601985583669
"Pre-processing (ktons of battery)",2026,"Capacity",495.528361849208
"Pre-processing (ktons of battery)",2026,"Feedstock",217.168933527735
"Pre-processing (ktons of battery)",2027,"Capacity",534.528361849207
"Pre-processing (ktons of battery)",2027,"Feedstock",361.995265908139
"Pre-processing (ktons of battery)",2028,"Capacity",786.528361849207
"Pre-processing (ktons of battery)",2028,"Feedstock",590.276275200088
"Pre-processing (ktons of battery)",2029,"Capacity",837.528361849207
"Pre-processing (ktons of battery)",2029,"Feedstock",822.631050948086
"Pre-processing (ktons of battery)",2030,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2030,"Feedstock",992.451807103464
"Pre-processing (ktons of battery)",2031,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2031,"Feedstock",1198.98967538052
"Pre-processing (ktons of battery)",2032,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2032,"Feedstock",1433.43070731006
"Pre-processing (ktons of battery)",2033,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2033,"Feedstock",1713.43977279709
"Pre-processing (ktons of battery)",2034,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2034,"Feedstock",2021.30350778347
"Pre-processing (ktons of battery)",2035,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2035,"Feedstock",2381.55145794237
"Pre-processing (ktons of battery)",2036,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2036,"Feedstock",2793.89311796306
"Pre-processing (ktons of battery)",2037,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2037,"Feedstock",3263.55756434716
"Pre-processing (ktons of battery)",2038,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2038,"Feedstock",3796.58035160251
"Pre-processing (ktons of battery)",2039,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2039,"Feedstock",4410.903648424
"Pre-processing (ktons of battery)",2040,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2040,"Feedstock",5204.45969761835
"Pre-processing (ktons of battery)",2041,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2041,"Feedstock",6048.68924169908
"Pre-processing (ktons of battery)",2042,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2042,"Feedstock",6811.29190752384
"Pre-processing (ktons of battery)",2043,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2043,"Feedstock",7680.84678754885
"Pre-processing (ktons of battery)",2044,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2044,"Feedstock",8516.9342625483
"Pre-processing (ktons of battery)",2045,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2045,"Feedstock",9278.16854658644
"Pre-processing (ktons of battery)",2046,"Capacity",918.387361849208
"Pre-processing (ktons of battery)",2046,"Feedstock",10008.5618989101
