"Scenario","scen_name","Year","Stage","ktons","capacity","net"
"Ambitious__reuse0","Ambitious",2025,"Pre-processing (ktons of battery)",127.333438958056,322.423361849208,195.089922891151
"Ambitious__reuse0","Ambitious",2025,"Refining (ktons of black mass)",36.5192458948439,0,-36.5192458948439
"Ambitious__reuse0","Ambitious",2026,"Pre-processing (ktons of battery)",189.141652277488,495.528361849208,306.38670957172
"Ambitious__reuse0","Ambitious",2026,"Refining (ktons of black mass)",54.978137467795,6.59364669564592,-48.3844907721491
"Ambitious__reuse0","Ambitious",2027,"Pre-processing (ktons of battery)",369.483058758448,534.528361849207,165.04530309076
"Ambitious__reuse0","Ambitious",2027,"Refining (ktons of black mass)",109.200600575043,96.7806103840414,-12.4199901910012
"Ambitious__reuse0","Ambitious",2028,"Pre-processing (ktons of battery)",572.294489858862,786.528361849207,214.233871990345
"Ambitious__reuse0","Ambitious",2028,"Refining (ktons of black mass)",172.289852708421,151.582672598708,-20.7071801097134
"Ambitious__reuse0","Ambitious",2029,"Pre-processing (ktons of battery)",805.224373849625,837.528361849207,32.3039879995823
"Ambitious__reuse0","Ambitious",2029,"Refining (ktons of black mass)",242.593111896309,162.295283655217,-80.2978282410922
"Ambitious__reuse0","Ambitious",2030,"Pre-processing (ktons of battery)",940.902263040318,918.387361849208,-22.5149011911102
"Ambitious__reuse0","Ambitious",2030,"Refining (ktons of black mass)",282.749587324571,373.123232020356,90.3736446957849
"Ambitious__reuse0","Ambitious",2031,"Pre-processing (ktons of battery)",1107.40345136506,918.387361849208,-189.016089515853
"Ambitious__reuse0","Ambitious",2031,"Refining (ktons of black mass)",331.29637855258,373.123232020356,41.8268534677763
"Ambitious__reuse0","Ambitious",2032,"Pre-processing (ktons of battery)",1317.14549524961,918.387361849208,-398.758133400405
"Ambitious__reuse0","Ambitious",2032,"Refining (ktons of black mass)",392.233315593555,384.659890081212,-7.57342551234228
