"Stage","Scenario","Sales","Size","Lifetime","eol","Reuse","Scrap","Year","ktons","type","cap","deficit","deficit_trans","lab_def"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","10%",2040,4720.36894134231,"Capacity",918.387361849208,3801.9815794931,61.6602106669536,"3.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","14%",2040,5217.39579656895,"Capacity",918.387361849208,4299.00843471974,65.5668241927252,"4.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","18%",2040,5714.42265179558,"Capacity",918.387361849208,4796.03528994637,69.2534135616893,"4.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","2%",2040,3726.31523088904,"Capacity",918.387361849208,2807.92786903983,52.9898845916825,"2.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","22%",2040,6211.44950702222,"Capacity",918.387361849208,5293.06214517301,72.7534339064006,"5.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","6%",2040,4223.34208611568,"Capacity",918.387361849208,3304.95472426647,57.488735629395,"3.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","10%",2040,4514.61102201238,"Capacity",918.387361849208,3596.22366016318,59.9685222442839,"3.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","14%",2040,4929.33470950705,"Capacity",918.387361849208,4010.94734765784,63.332040450769,"4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","18%",2040,5344.05839700171,"Capacity",918.387361849208,4425.6710351525,66.5257170961163,"4.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","2%",2040,3685.16364702306,"Capacity",918.387361849208,2766.77628517385,52.600154801805,"2.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","22%",2040,5758.78208449637,"Capacity",918.387361849208,4840.39472264717,69.5729453354331,"4.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","6%",2040,4099.88733451772,"Capacity",918.387361849208,3181.49997266851,56.4047867886096,"3.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","10%",2040,5437.1278505662,"Capacity",918.387361849208,4518.74048871699,67.2215775530223,"4.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","14%",2040,6046.46390589309,"Capacity",918.387361849208,5128.07654404388,71.6105896082687,"5.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","18%",2040,6655.79996121999,"Capacity",918.387361849208,5737.41259937078,75.7457101053966,"5.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","2%",2040,4218.45573991241,"Capacity",918.387361849208,3300.0683780632,57.4462216169453,"3.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","22%",2040,7265.13601654688,"Capacity",918.387361849208,6346.74865469767,79.6664838856195,"6.3M"
